DateTime,Fan1Speed,Fan2Speed,CPU Local Temp,GPU Local Temp,CPU Sensor Temp,GPU Sensor Temp,ChargeIC Sensor Temp,Environment Sensor Temp,SSD Sensor Temp,RAM Sensor Temp,PCH Local Temp,PCH Sensor Temp,VRAM Sensor Temp,FBVDDQ Sensor Temp,LidStatus,AdapterH,AdapterL,ThermalMode,PsysH,PsysL
4/17/2024 6:53:35 PM,43,44,66,73,57,53,49,30,60,0,66,0,53,54,14,1,74,3,0,213
4/17/2024 6:53:37 PM,43,44,67,74,57,53,50,29,60,0,65,0,53,54,14,1,74,3,0,220
4/17/2024 6:53:38 PM,43,44,67,74,57,53,50,29,60,0,65,0,54,55,14,1,74,3,0,224
4/17/2024 6:53:40 PM,43,44,67,70,57,53,50,29,61,0,65,0,54,55,14,1,74,3,0,231
4/17/2024 6:53:41 PM,43,44,67,73,57,53,50,29,61,0,66,0,54,55,14,1,74,3,0,208
4/17/2024 6:53:43 PM,43,44,67,74,57,53,51,30,61,0,67,0,54,55,14,1,74,3,0,211
4/17/2024 6:53:45 PM,43,44,67,75,57,54,51,29,61,0,67,0,54,55,14,1,74,3,0,218
4/17/2024 6:53:46 PM,43,44,67,74,58,54,51,29,61,0,67,0,54,56,14,1,74,3,0,212
4/17/2024 6:53:48 PM,43,44,68,75,58,54,51,30,62,0,67,0,55,56,14,1,74,3,0,218
4/17/2024 6:53:49 PM,43,44,68,75,58,54,51,30,62,0,67,0,55,56,14,1,74,3,0,155
4/17/2024 6:53:51 PM,43,44,68,76,58,54,52,30,62,0,66,0,55,56,14,1,74,3,0,175
4/17/2024 6:53:53 PM,43,44,68,75,58,54,52,30,62,0,67,0,55,56,14,1,74,3,0,207
4/17/2024 6:53:54 PM,44,45,68,75,58,55,52,30,63,0,67,0,55,57,14,1,74,3,0,181
4/17/2024 6:53:56 PM,45,46,68,75,58,55,52,30,63,0,67,0,55,57,14,1,74,3,0,224
4/17/2024 6:53:57 PM,46,47,68,75,58,55,52,30,63,0,68,0,55,57,14,1,74,3,0,214
4/17/2024 6:53:59 PM,47,48,68,75,58,55,53,30,63,0,67,0,56,57,14,1,74,3,0,218
4/17/2024 6:54:01 PM,48,49,68,76,59,55,53,30,64,0,67,0,56,57,14,1,74,3,0,215
4/17/2024 6:54:02 PM,49,50,68,75,59,55,53,30,63,0,67,0,56,57,14,1,74,3,0,229
4/17/2024 6:54:04 PM,50,52,68,76,59,55,53,30,64,0,69,0,56,57,14,1,74,3,0,215
4/17/2024 6:54:05 PM,51,52,68,76,59,55,53,30,64,0,68,0,56,58,14,1,74,3,0,193
