date,time,1:t_gpu,1:gpc_clk,1:slowdown,1:clk_mem,1:gpc_util,1:fb_util,1:p_state,1:pwr_tgp,1:NVVDD,1:NVVDDS,1:?,1:fan_rpm,1:pcie_gpu_width,1:pcie_gpu_L0s,1:pcie_gpu_L1,1:pcie_gpu_speed,1:pcie_root_width,1:pcie_root_L0s,1:pcie_root_L1,1:pcie_root_speed,1:GPU_CE,1:GPU_NF,1:GPU_FE,1:GPU_UR,1:ROOT_CE,1:ROOT_NF,1:ROOT_FE,1:ROOT_UR,1:Total_Time_GC6,1:Total_Time_Enter_GC6,1:Total_Time_Exit_GC6,1:GC6_Transition_Count,1:Not_Enter_GC6_Reason,1:?,1:thml_cap,1:pwr_cap,1:volt_cap,1:pstate_cap,1:cpu_pstate,1:cpu_cap,1:cpu_temp
2019/11/19,4:08:36,N/A,N/A, ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,?,0,0,0,,P0,P0,0
2019/11/19,4:08:37,N/A,N/A, ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,?,0,0,0,,P0,P0,0
2019/11/19,4:08:38,N/A,N/A, ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,?,0,0,0,,P0,P0,0
2019/11/19,4:08:39,N/A,N/A, ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,?,0,0,0,,P0,P0,0
2019/11/19,4:08:40,N/A,N/A, ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,?,0,0,0,,P0,P0,0
2019/11/19,4:08:41,N/A,N/A, ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,?,0,0,0,,P0,P0,0
2019/11/19,4:08:42,N/A,N/A, ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,?,0,0,0,,P0,P0,0
2019/11/19,4:08:43,N/A,N/A, ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,?,0,0,0,,P0,P0,0
2019/11/19,4:08:44,N/A,N/A, ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,?,0,0,0,,P0,P0,0
2019/11/19,4:08:45,N/A,N/A, ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,?,0,0,0,,P0,P0,0
